date,data science,machine learning,artificial intelligence,finance,business,isPartial
2023-03-05,2,2,2,27,73,False
2023-03-12,2,2,2,30,73,False
2023-03-19,2,2,2,29,74,False
2023-03-26,2,3,2,27,100,False
2023-04-02,2,2,2,28,100,False
2023-04-09,2,2,2,27,71,False
2023-04-16,2,2,2,27,72,False
2023-04-23,2,2,2,27,72,False
2023-04-30,2,2,2,28,72,False
2023-05-07,2,2,2,28,68,False
2023-05-14,2,3,2,27,72,False
2023-05-21,2,2,2,28,70,False
2023-05-28,2,2,2,27,66,False
2023-06-04,2,2,2,30,72,False
2023-06-11,2,2,2,30,72,False
2023-06-18,2,2,2,29,68,False
2023-06-25,2,2,2,27,71,False
2023-07-02,2,2,2,29,66,False
2023-07-09,2,2,2,32,72,False
2023-07-16,2,2,2,30,71,False
2023-07-23,2,2,2,30,70,False
2023-07-30,2,2,2,31,75,False
2023-08-06,2,2,2,32,70,False
2023-08-13,2,2,2,29,70,False
2023-08-20,2,2,2,30,71,False
2023-08-27,2,2,2,29,73,False
2023-09-03,2,2,2,30,72,False
2023-09-10,2,2,2,28,75,False
2023-09-17,2,2,2,29,77,False
2023-09-24,2,2,2,29,70,False
2023-10-01,2,2,2,29,74,False
2023-10-08,2,3,2,30,71,False
2023-10-15,2,2,2,28,72,False
2023-10-22,2,2,2,27,71,False
2023-10-29,2,3,2,28,72,False
2023-11-05,2,2,2,29,72,False
2023-11-12,2,2,2,27,67,False
2023-11-19,2,2,2,26,70,False
2023-11-26,2,3,2,29,70,False
2023-12-03,2,3,2,30,72,False
2023-12-10,2,3,2,31,68,False
2023-12-17,2,2,2,29,64,False
2023-12-24,2,2,1,25,59,False
2023-12-31,2,2,2,28,69,False
